What is the capital of France?,Paris
What is 2+2?,4
Who wrote 'To Kill a Mockingbird'?,Harper Lee
What is the largest planet in our solar system?,Jupiter
What is the smallest prime number?,2
What is the chemical symbol for water?,H2O
Who painted the Mona Lisa?,Leonardo da Vinci
What is the hardest natural substance on Earth?,Diamond
In which year did the Titanic sink?,1912
What is the capital of Japan?,Tokyo
Who developed the theory of relativity?,Albert Einstein
What is the main ingredient in guacamole?,Avocado
Which planet is known as the Red Planet?,Mars
Who was the first president of the United States?,George Washington
What is the tallest mountain in the world?,Mount Everest
